Wind Dir (°),Wind Speed (ms),Wind Gusts 1h (ms),Wave Height (m),Dominant Wave Period (s),Avg Wave Period (s),Dominant Wave Direction,Pressure,Air Temperature,Water Temperature,Datetime
100.0,2.0,4.0,1.8,15.0,7.3,185.0,1017.0,22.5,24.5,2024-05-21 13:20:00+00:00
100.0,2.0,3.0,1.6,8.0,7.0,105.0,1017.0,22.3,24.5,2024-05-21 12:50:00+00:00
90.0,2.0,3.0,1.6,8.0,7.0,111.0,1017.2,22.3,24.4,2024-05-21 12:20:00+00:00
120.0,2.0,4.0,1.6,15.0,7.4,185.0,1017.4,22.4,24.5,2024-05-21 11:50:00+00:00
130.0,4.0,5.0,1.6,15.0,7.4,196.0,1017.7,22.7,24.4,2024-05-21 11:20:00+00:00
130.0,3.0,4.0,1.7,15.0,7.5,185.0,1018.1,22.8,24.4,2024-05-21 10:50:00+00:00
110.0,3.0,4.0,1.6,8.0,7.2,100.0,1018.2,22.9,24.4,2024-05-21 10:20:00+00:00
120.0,4.0,6.0,1.6,8.0,7.1,93.0,1018.5,22.9,24.5,2024-05-21 09:50:00+00:00
240.0,2.0,4.0,1.6,8.0,6.9,121.0,1018.6,23.3,24.5,2024-05-21 09:20:00+00:00
130.0,1.0,2.0,1.8,8.0,7.3,109.0,1018.7,23.5,24.4,2024-05-21 08:50:00+00:00
240.0,2.0,4.0,1.6,16.0,7.1,197.0,1018.3,23.5,24.5,2024-05-21 07:50:00+00:00
190.0,2.0,3.0,1.7,8.0,7.2,109.0,1018.1,23.9,24.5,2024-05-21 07:20:00+00:00
170.0,1.0,3.0,1.7,8.0,7.2,90.0,1017.8,23.8,24.4,2024-05-21 06:50:00+00:00
210.0,2.0,3.0,1.6,7.0,6.9,76.0,1017.5,23.8,24.4,2024-05-21 06:20:00+00:00
220.0,2.0,3.0,1.5,16.0,6.6,167.0,1017.2,23.7,24.4,2024-05-21 05:50:00+00:00
240.0,2.0,3.0,1.7,15.0,6.5,186.0,1017.0,23.6,24.5,2024-05-21 05:20:00+00:00
200.0,2.0,3.0,1.6,7.0,6.4,141.0,1016.9,23.4,24.4,2024-05-21 04:50:00+00:00
210.0,1.0,2.0,1.7,8.0,6.4,119.0,1016.7,23.3,24.4,2024-05-21 04:20:00+00:00
160.0,2.0,3.0,1.6,8.0,6.5,252.0,1016.4,23.0,24.4,2024-05-21 03:50:00+00:00
180.0,4.0,6.0,1.8,8.0,7.0,113.0,1016.4,23.0,24.5,2024-05-21 03:20:00+00:00
180.0,6.0,9.0,1.6,8.0,6.7,67.0,1016.5,23.1,24.5,2024-05-21 02:50:00+00:00
190.0,3.0,4.0,1.7,8.0,7.0,53.0,1016.5,23.1,24.5,2024-05-21 02:20:00+00:00
180.0,4.0,6.0,1.7,9.0,6.8,85.0,1016.7,23.2,24.5,2024-05-21 01:50:00+00:00
140.0,2.0,3.0,1.7,8.0,6.8,72.0,1016.7,23.6,24.5,2024-05-21 01:20:00+00:00
90.0,3.0,4.0,1.8,8.0,6.8,94.0,1016.6,23.8,24.5,2024-05-21 00:50:00+00:00
90.0,3.0,5.0,1.7,9.0,6.9,70.0,1016.8,23.6,24.4,2024-05-21 00:20:00+00:00
80.0,3.0,4.0,1.8,8.0,7.1,82.0,1017.1,23.4,24.5,2024-05-20 23:50:00+00:00
100.0,3.0,4.0,1.8,7.0,6.9,116.0,1017.5,23.2,24.4,2024-05-20 23:20:00+00:00
110.0,2.0,3.0,1.9,8.0,7.3,5.0,1017.9,23.2,24.4,2024-05-20 22:50:00+00:00
100.0,2.0,3.0,1.9,15.0,7.3,176.0,1018.0,23.0,24.4,2024-05-20 22:20:00+00:00
50.0,1.0,2.0,1.8,9.0,7.2,1.0,1018.3,22.8,24.4,2024-05-20 21:50:00+00:00
30.0,1.0,3.0,1.8,16.0,7.2,177.0,1018.4,22.6,24.3,2024-05-20 20:50:00+00:00
